gene_id	Hs578T_DMSO-1	Hs578T_DMSO-2	Hs578T_DMSO-3	Hs578T_DMSO-4	Hs578T_DMSO-5	Hs578T_GL24-1	Hs578T_GL24-2	Hs578T_GL24-3	Hs578T_GL24-4	Hs578T_GL24-5	MDAMB157_DMSO-1	MDAMB157_DMSO-2	MDAMB157_DMSO-3	MDAMB157_DMSO-4	MDAMB157_DMSO-5	MDAMB157_GL24-1	MDAMB157_GL24-2	MDAMB157_GL24-3	MDAMB157_GL24-4	MDAMB157_GL24-5	MDAMB231_DMSO-1	MDAMB231_DMSO-2	MDAMB231_DMSO-3	MDAMB231_DMSO-4	MDAMB231_DMSO-5	MDAMB231_GL24-1	MDAMB231_GL24-2	MDAMB231_GL24-3	MDAMB231_GL24-4	MDAMB231_GL24-5
Gene001	1.55	1.3	1.57	1.94	1.54	2.55	2.24	2.12	1.92	1.63	4.54	2.97	4.79	3.63	4.49	1.72	2.12	2.28	1.54	2.06	2.79	4.35	2.5	3.53	4.62	2.85	2.67	2.75	2.77	2.11
Gene002	18.43	15.28	20.41	15.11	18.07	23.89	24.05	15.88	19.7	20.01	15.33	15.11	21.63	15.13	14.75	32.9	31.74	27.41	28.22	35.1	19.25	22.41	16.43	22.39	19.92	42.29	56.05	39.82	36.85	52.24
Gene003	2.11	2.19	1.92	2.55	1.75	2.52	3.06	8.48	1.48	2.56	0	0	0	0	0	0	0	0.01	0	0.01	2.2	1.46	6.93	4.84	3.13	2.45	0.82	0.94	0.49	1.99
Gene004	52.95	48.13	58.55	56.11	53.77	49.68	52.12	53.09	51.75	55.07	36.11	38.98	34.27	39.18	39.04	63.13	57.94	57.34	44.45	56.9	73.97	76.82	68.51	56.79	73.72	72.59	71.83	75.23	72.91	62.06
Gene005	8.04	6.46	8.17	8.07	6.85	6.56	6.63	5.6	6.58	8.06	7.68	10.91	9.21	12.98	11.25	13.89	13.6	15.43	13.37	15.64	19.01	21.46	18.26	17.35	18.46	21.24	18.17	18.31	16.7	19.94
Gene006	0.09	0.12	0	0.28	0.09	0.03	0.13	0	0.14	0.13	10.3	7.06	4.32	1.67	3.99	4.42	2.93	2.81	0.44	2.37	4.14	0.62	0.82	0.98	6.26	0.97	1.37	0.57	0.7	2.61
Gene007	0	0	0.15	0.33	0	0.12	0	0.15	0.14	0	0.07	0	0	0	0	0.21	0.08	0	0.28	0.11	0	0	0	0	0.02	0	0	0	0	0.17
Gene008	0.62	0	0	0	0	0.42	0	0	0	0	0.3	0.14	0.5	1.44	0	0.14	0.11	0	0	0.24	0.71	1.67	2.86	1.27	3.27	0.22	0.57	0.01	0	0.5
Gene009	0	0	0	0.07	0	0.16	0	0	0	0	0.15	0.08	0.06	0	0.23	0	0	0.14	0	0.18	0	0	0	0.14	0.15	0.21	0	0.06	0	0.15
Gene010	153.97	147.28	156.49	153.63	150.95	148.62	163.85	155.09	148.48	151.89	62.26	64.35	75.23	76.02	81.61	45.34	40.91	41.19	49.84	50.67	105.41	97.06	99.04	91.44	109.81	56.52	52.8	61.52	53.69	61.58
Gene011	16.53	14.14	14.35	14.35	16.56	18.83	20.99	18.07	16.33	18.96	7.51	8.6	9.45	10.48	12	5.23	5.43	5.24	5.45	5.88	24.46	25.91	29.86	24.49	36.09	15.9	14.95	16.13	20.49	21.66
Gene012	23.36	25.65	23.06	26.41	20.92	21.47	24.18	25.57	22.36	23.75	76.47	80.38	73	67.54	76.28	78.16	81.34	78.43	75.47	73.98	49.89	58.06	52.5	50.01	60.51	42.4	41.35	45.93	39.52	51.68
Gene013	23.32	16.29	18.8	13.64	18.95	22.39	18.25	23.7	18.19	20.67	24.86	25.99	24.54	23.87	24.64	23.17	22.33	14.51	19.87	18.99	20.01	21.43	21.24	17.66	24.16	15.45	16.43	15.22	13.17	13.57
Gene014	61.95	57.06	66.6	57.12	60.5	60.61	59.61	63.15	58.2	62.39	53.15	67.06	71.39	82.19	71.51	54.82	52.97	47.25	46.43	53.07	54.25	59.71	61.83	50.56	62.25	64.14	66.27	68.5	71.28	72.38
Gene015	32.39	25.6	28.76	39.52	37.11	27.55	29.05	21.39	23.73	21.53	44.04	48.58	41.35	30.25	43.93	60.68	100.87	85.49	91.4	77.56	32.72	23.78	28.04	30.52	18.6	59.53	68.91	46.37	44.85	50.28
Gene016	67.58	62.72	71.75	65.45	63.31	59.42	68.1	63.45	60.34	68.06	28.22	31.59	26.45	24.51	26.74	51.93	50.69	49.6	45.68	45.23	99.65	114.31	113.08	90.38	127.49	161.53	157.05	132.35	147.77	147.81
Gene017	118.91	109.72	138.14	122.37	127.8	125.68	123.12	134.86	127.97	132.24	154.24	175.31	179.09	194.42	183.05	150.09	200.68	207.68	232.31	197.52	152.38	158.58	163.38	142	166.5	93.04	95.33	99.59	95.3	104.14
Gene018	8.27	7.76	6.95	7.1	7.66	6.96	8.4	7.65	7.47	8.11	8.43	10.13	10.23	11.99	13.3	6.15	4.66	7.16	10.8	12.33	5.01	5.62	5.96	5.28	7.19	2.07	2.25	1.74	1.98	2
Gene019	31.23	36.81	37.2	33.17	33.48	34.24	37.99	35.45	40.32	31.71	30.97	26.52	21.97	21.3	17.62	41.12	32.97	28.19	26.47	22.38	42	38.75	40.27	35.44	44.35	37.07	37.37	52.63	37.83	38.54
